,Respuestas
El espacio donde trabajo me permite realizar mis actividades de manera segura e higiénica,0
Mi trabajo me exige hacer mucho esfuerzo físico,0
Me preocupa sufrir un accidente en mi trabajo,0
Considero que en mi trabajo se aplican las normas de seguridad y salud en el trabajo,3
Considero que las actividades que realizo son peligrosas,0
Por la cantidad de trabajo que tengo debo quedarme tiempo adicional a mi turno,0
Por la cantidad de trabajo que tengo debo trabajar sin parar,0
Considero que es necesario mantener un ritmo de trabajo acelerado,0
Mi trabajo exige que esté muy concentrado,0
Mi trabajo requiere que memorice mucha información,0
En mi trabajo tengo que tomar decisiones difíciles muy rápido,0
Mi trabajo exige que atienda varios asuntos al mismo tiempo,0
En mi trabajo soy responsable de cosas de mucho valor,0
Respondo ante mi jefe por los resultados de toda mi área de trabajo,0
En el trabajo me dan órdenes contradictorias,0
Considero que en mi trabajo me piden hacer cosas innecesarias,0
Trabajo horas extras más de tres veces a la semana,0
"Mi trabajo me exige laborar en días de descanso, festivos o fines de semana",0
Considero que el tiempo en el trabajo es mucho y perjudica mis actividades familiares o personales,0
Debo atender asuntos de trabajo cuando estoy en casa,0
Pienso en las actividades familiares o personales cuando estoy en mi trabajo,0
Pienso que mis responsabilidades familiares afectan mi trabajo,0
Mi trabajo permite que desarrolle nuevas habilidades,2
En mi trabajo puedo aspirar a un mejor puesto,1
Durante mi jornada de trabajo puedo tomar pausas cuando las necesito,0
Puedo decidir cuánto trabajo realizo durante la jornada laboral,0
Puedo decidir la velocidad a la que realizo mis actividades en mi trabajo,1
Puedo cambiar el orden de las actividades que realizo en mi trabajo,0
Los cambios que se presentan en mi trabajo dificultan milabor,0
Cuando se presentan cambios en mi trabajo se tienen en cuenta mis ideas o aportaciones,1
Me informan con claridad cuáles son mis funciones,0
Me explican claramente los resultados que debo obtener en mi trabajo,2
Me explican claramente los objetivos de mi trabajo,1
Me informan con quién puedo resolver problemas o asuntos de trabajo,0
Me permiten asistir a capacitaciones relacionadas con mi trabajo,1
Recibo capacitación útil para hacer mi trabajo,2
Mi jefe ayuda a organizar mejor el trabajo,1
Mi jefe tiene en cuenta mis puntos de vista y opiniones,0
Mi jefe me comunica a tiempo la información relacionada con el trabajo,1
La orientación que me da mi jefe me ayuda a realizar mejor mi trabajo,1
Mi jefe ayuda a solucionar los problemas que se presentan en el trabajo,0
Puedo confiar en mis compañeros de trabajo,2
Entre compañeros solucionamos los problemas de trabajo de forma respetuosa,2
En mi trabajo me hacen sentir parte del grupo,1
Cuando tenemos que realizar trabajo de equipo los compañeros colaboran,0
Mis compañeros de trabajo me ayudan cuando tengo dificultades,0
Me informan sobre lo que hago bien en mi trabajo,1
La forma como evalúan mi trabajo en mi centro de trabajo me ayuda a mejorar mi desempeño,2
En mi centro de trabajo me pagan a tiempo mi salario,1
El pago que recibo es el que merezco por el trabajo que realizo,0
Si obtengo los resultados esperados en mi trabajo me recompensan o reconocen,0
Las personas que hacen bien el trabajo pueden crecer laboralmente,1
Considero que mi trabajo es estable,2
En mi trabajo existe continua rotación de personal,0
Siento orgullo de laborar en este centro de trabajo,0
Me siento comprometido con mi trabajo,3
En mi trabajo puedo expresarme libremente sin interrupciones,1
Recibo críticas constantes a mi persona y/o trabajo,0
"Recibo burlas, calumnias, difamaciones, humillaciones o ridiculizaciones",0
Se ignora mi presencia o se me excluye de las reuniones de trabajo y en la toma de decisiones,0
Se manipulan las situaciones de trabajo para hacerme parecer un mal trabajador,0
Se ignoran mis éxitos laborales y se atribuyen a otros trabajadores,0
Me bloquean o impiden las oportunidades que tengo para obtener ascenso o mejora en mi trabajo,0
He presenciado actos de violencia en mi centro de trabajo,0
Atiendo clientes o usuarios muy enojados,0
Mi trabajo me exige atender personas muy necesitadas de ayuda o enfermas,0
Para hacer mi trabajo debo demostrar sentimientos distintos a los míos,0
Mi trabajo me exige atender situaciones de violencia,0
Comunican tarde los asuntos de trabajo,0
Dificultan el logro de los resultados del trabajo,0
Cooperan poco cuando se necesita,0
Ignoran las sugerencias para mejorar su trabajo,0
