Categoria,Dominio,Dimension
Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones peligrosas e inseguras
Ambiente de trabajo,Condiciones en el ambiente de trabajo,Condiciones deficientes e insalubres
Ambiente de trabajo,Condiciones en el ambiente de trabajo,Trabajos peligrosos
Factores propios de la actividad,Carga de trabajo,Cargas cuantitativas
Factores propios de la actividad,Carga de trabajo,Ritmos de trabajo acelerado
Factores propios de la actividad,Carga de trabajo,Carga mental
Factores propios de la actividad,Carga de trabajo,Cargas psicologicas emocionales
Factores propios de la actividad,Carga de trabajo,Cargas de alta responsabilidad
Factores propios de la actividad,Carga de trabajo,Cargas contradictorias o inconsistentes
Factores propios de la actividad,Falta de control sobre el trabajo,Falta de control y autonomia sobre el trabajo
Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o nula posibilidad de desarrollo
Factores propios de la actividad,Falta de control sobre el trabajo,Insuficiente participación y manejo del cambio
Factores propios de la actividad,Falta de control sobre el trabajo,Limitada o inexistente capacitacion
Organizacion del tiempo de trabajo,Jornada de trabajo,Jornadas de trabajo extensas
Organizacion del tiempo de trabajo,Interferencia en la relacion trabajo- familia,Influencia del trabajo fuera del centro laboral
Organizacion del tiempo de trabajo,Interferencia en la relacion trabajo- familia,Influencia de las responsabilidades familiares Influencia de las responsabilidades familiares
Liderazgo y relaciones en el trabajo,Liderazgo,Escasa claridad de funciones
Liderazgo y relaciones en el trabajo,Liderazgo,Caracteristicas del liderazgo
Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Relaciones sociales en el trabajo
Liderazgo y relaciones en el trabajo,Relaciones en el trabajo,Deficiente relacion con los colaboradores que supervisa
Liderazgo y relaciones en el trabajo,Violencia,Violencia laboral
Entorno organizacional,Reconocimiento del desempeño,Escasa o nula retroalimentación del desempeño
Entorno organizacional,Reconocimiento del desempeño,Escaso o nulo reconocimiento y compensación
Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Limitado sentido de pertenencia
Entorno organizacional,"Insuficiente sentido de pertenencia e, inestabilidad",Inestabilidad laboral
